"speaker.gender","speaker","rater","gender","age","score"
"F",16,910,"F","A",1
"F",16,933,"F","Y",2
"F",16,917,"F","A",3
"F",16,3,"F","A",3
"F",16,592,"F","A",2
"F",16,1,"M","A",2
"F",16,55,"F","A",4
"F",16,941,"M","A",3
"F",16,405,"F","Y",4
"F",16,909,"M","Y",3
"F",16,906,"M","Y",3
"F",16,202,"F","Y",4
"F",16,281,"F","A",2
"F",16,62,"M","Y",4
"F",16,934,"F","A",4
"F",16,31,"F","A",3
"F",16,940,"F","A",3
"F",16,908,"M","A",1
"F",17,926,"F","Y",3
"F",17,915,"F","Y",6
"F",17,901,"M","Y",5
"F",17,237,"F","A",4
"F",17,24,"M","A",6
"F",17,85,"F","Y",6
"F",17,916,"M","Y",7
"F",17,79,"F","A",5
"F",17,42,"M","A",4
"F",17,936,"M","A",5
"F",17,382,"F","Y",6
"F",17,902,"F","A",5
"F",17,18,"F","A",6
"F",17,925,"F","Y",4
"F",17,937,"F","Y",5
"F",17,914,"M","Y",7
"F",17,580,"F","A",5
"F",17,589,"M","A",7
"F",17,905,"M","A",6
"F",17,588,"M","A",2
"F",17,896,"F","A",6
"F",17,55,"F","A",7
"F",17,890,"F","A",7
"F",17,932,"F","Y",4
"F",17,44,"M","A",4
"F",17,895,"F","A",5
"F",17,904,"M","A",4
"F",17,251,"M","A",7
"F",17,578,"M","A",4
"F",17,913,"M","Y",3
"F",17,208,"F","A",5
"F",17,169,"F","A",5
"F",17,406,"F","Y",6
"F",17,922,"M","Y",6
"F",17,892,"F","Y",5
"F",17,912,"M","A",6
"F",17,198,"F","A",5
"F",17,938,"M","Y",4
"F",17,36,"M","A",2
"F",17,911,"F","Y",5
"F",17,51,"M","A",5
"F",17,432,"M","Y",6
"F",17,279,"M","A",4
"F",17,203,"F","A",6
"F",17,924,"M","Y",5
"F",17,49,"M","Y",4
"F",17,404,"F","Y",5
"F",17,592,"F","A",4
"F",17,485,"F","A",7
"F",17,943,"M","Y",3
"F",17,62,"M","Y",6
"F",17,941,"M","A",4
"F",17,935,"F","A",4
"F",17,918,"M","A",5
"F",17,409,"M","A",3
"F",17,897,"F","A",5
"F",17,942,"M","Y",4
"F",17,923,"F","Y",4
"F",17,381,"M","Y",5
"F",17,940,"F","A",6
"F",17,930,"M","Y",5
"F",17,899,"F","A",5
"F",17,910,"F","A",5
"F",17,405,"F","Y",5
"F",17,596,"F","A",5
"F",17,202,"F","Y",6
"F",17,50,"M","A",6
"F",17,907,"M","Y",6
"F",17,945,"M","A",6
"F",17,1,"M","A",7
"F",17,900,"M","Y",7
"F",17,242,"M","Y",4
"F",17,909,"M","Y",5
"F",17,31,"F","A",7
"F",17,927,"F","Y",4
"F",17,906,"M","Y",4
"F",17,934,"F","A",5
"F",17,917,"F","A",4
"F",17,894,"M","Y",4
"F",17,893,"F","Y",6
"F",17,933,"F","Y",7
"F",17,170,"F","A",6
"F",17,281,"F","A",4
"F",17,3,"F","A",4
"F",17,908,"M","A",4
"F",18,913,"M","Y",4
"F",18,589,"M","A",7
"F",18,55,"F","A",5
"F",18,85,"F","Y",4
"F",18,588,"M","A",4
"F",18,932,"F","Y",5
"F",18,916,"M","Y",5
"F",18,937,"F","Y",4
"F",18,911,"F","Y",5
"F",18,896,"F","A",6
"F",18,203,"F","A",4
"F",18,914,"M","Y",6
"F",18,18,"F","A",5
"F",18,925,"F","Y",3
"F",18,404,"F","Y",4
"F",18,926,"F","Y",3
"F",18,936,"M","A",6
"F",18,923,"F","Y",3
"F",18,900,"M","Y",4
"F",18,938,"M","Y",4
"F",18,901,"M","Y",3
"F",18,578,"M","A",4
"F",18,899,"F","A",5
"F",18,432,"M","Y",2
"F",18,381,"M","Y",4
"F",18,922,"M","Y",5
"F",18,915,"F","Y",3
"F",18,24,"M","A",5
"F",18,382,"F","Y",6
"F",18,44,"M","A",4
"F",18,942,"M","Y",5
"F",18,917,"F","A",3
"F",18,927,"F","Y",6
"F",18,485,"F","A",7
"F",18,912,"M","A",3
"F",18,580,"F","A",6
"F",18,409,"M","A",5
"F",18,918,"M","A",4
"F",18,79,"F","A",3
"F",18,42,"M","A",3
"F",18,208,"F","A",4
"F",18,924,"M","Y",4
"F",18,945,"M","A",4
"F",18,895,"F","A",6
"F",18,934,"F","A",3
"F",18,62,"M","Y",5
"F",18,941,"M","A",4
"F",18,242,"M","Y",5
"F",18,935,"F","A",5
"F",18,36,"M","A",2
"F",18,51,"M","A",5
"F",18,890,"F","A",6
"F",18,406,"F","Y",5
"F",18,943,"M","Y",3
"F",18,169,"F","A",4
"F",18,909,"M","Y",2
"F",18,1,"M","A",7
"F",18,592,"F","A",6
"F",18,907,"M","Y",5
"F",18,251,"M","A",6
"F",18,933,"F","Y",7
"F",18,202,"F","Y",3
"F",18,596,"F","A",5
"F",18,892,"F","Y",5
"F",18,910,"F","A",7
"F",18,279,"M","A",4
"F",18,50,"M","A",4
"F",18,940,"F","A",4
"F",18,31,"F","A",5
"F",18,170,"F","A",2
"F",18,930,"M","Y",3
"F",18,906,"M","Y",3
"F",18,405,"F","Y",3
"F",18,198,"F","A",3
"F",18,3,"F","A",4
"F",18,237,"F","A",6
"F",18,904,"M","A",5
"F",18,49,"M","Y",5
"F",18,893,"F","Y",2
"F",18,894,"M","Y",5
"F",18,897,"F","A",3
"F",18,281,"F","A",6
"F",18,908,"M","A",3
"F",18,905,"M","A",4
"F",18,902,"F","A",4
"F",19,916,"M","Y",6
"F",19,901,"M","Y",5
"F",19,169,"F","A",4
"F",19,589,"M","A",3
"F",19,923,"F","Y",4
"F",19,914,"M","Y",5
"F",19,485,"F","A",7
"F",19,911,"F","Y",5
"F",19,202,"F","Y",4
"F",19,55,"F","A",3
"F",19,432,"M","Y",6
"F",19,382,"F","Y",7
"F",19,926,"F","Y",5
"F",19,203,"F","A",3
"F",19,943,"M","Y",3
"F",19,935,"F","A",2
"F",19,24,"M","A",5
"F",19,592,"F","A",7
"F",19,251,"M","A",4
"F",19,79,"F","A",2
"F",19,900,"M","Y",2
"F",19,913,"M","Y",3
"F",19,42,"M","A",4
"F",19,892,"F","Y",5
"F",19,170,"F","A",4
"F",19,890,"F","A",5
"F",19,895,"F","A",3
"F",19,907,"M","Y",4
"F",19,580,"F","A",5
"F",19,899,"F","A",5
"F",19,588,"M","A",4
"F",19,925,"F","Y",4
"F",19,49,"M","Y",3
"F",19,937,"F","Y",1
"F",19,578,"M","A",5
"F",19,922,"M","Y",5
"F",19,942,"M","Y",3
"F",19,896,"F","A",7
"F",19,938,"M","Y",3
"F",19,404,"F","Y",4
"F",19,934,"F","A",4
"F",19,917,"F","A",6
"F",19,198,"F","A",3
"F",19,912,"M","A",7
"F",19,381,"M","Y",4
"F",19,51,"M","A",2
"F",19,908,"M","A",2
"F",19,915,"F","Y",4
"F",19,409,"M","A",5
"F",19,406,"F","Y",4
"F",19,208,"F","A",5
"F",19,893,"F","Y",1
"F",19,242,"M","Y",5
"F",19,932,"F","Y",2
"F",19,18,"F","A",5
"F",19,894,"M","Y",6
"F",19,36,"M","A",2
"F",19,596,"F","A",4
"F",19,62,"M","Y",3
"F",19,910,"F","A",5
"F",19,924,"M","Y",4
"F",19,279,"M","A",3
"F",19,930,"M","Y",2
"F",19,50,"M","A",4
"F",19,905,"M","A",5
"F",19,927,"F","Y",2
"F",19,940,"F","A",3
"F",19,897,"F","A",4
"F",19,909,"M","Y",2
"F",19,906,"M","Y",4
"F",19,405,"F","Y",4
"F",19,918,"M","A",6
"F",19,44,"M","A",3
"F",19,904,"M","A",2
"F",19,933,"F","Y",6
"F",19,945,"M","A",4
"F",19,85,"F","Y",5
"F",19,941,"M","A",5
"F",19,3,"F","A",3
"F",19,936,"M","A",4
"F",19,902,"F","A",5
"F",19,237,"F","A",5
"F",19,31,"F","A",6
"F",19,1,"M","A",6
"F",19,281,"F","A",6
"F",2,203,"F","A",3
"F",2,913,"M","Y",3
"F",2,922,"M","Y",6
"F",2,580,"F","A",3
"F",2,198,"F","A",3
"F",2,932,"F","Y",1
"F",2,169,"F","A",2
"F",2,208,"F","A",3
"F",2,592,"F","A",3
"F",2,85,"F","Y",1
"F",2,893,"F","Y",3
"F",2,925,"F","Y",5
"F",2,943,"M","Y",5
"F",2,170,"F","A",4
"F",2,914,"M","Y",3
"F",2,406,"F","Y",4
"F",2,202,"F","Y",3
"F",2,938,"M","Y",1
"F",2,916,"M","Y",4
"F",2,940,"F","A",3
"F",2,892,"F","Y",4
"F",2,79,"F","A",5
"F",2,899,"F","A",3
"F",2,912,"M","A",5
"F",2,934,"F","A",3
"F",2,3,"F","A",6
"F",2,904,"M","A",3
"F",2,18,"F","A",2
"F",2,405,"F","Y",3
"F",2,895,"F","A",3
"F",2,55,"F","A",4
"F",2,896,"F","A",6
"F",2,62,"M","Y",5
